Sleep Date,Time in Wake,Time in REM,Time in Light,Time in Deep,Awakenings,Start of Night,End of Night,Rise Time
9/29/12,3,23,293,79,2,9/29/12 18:45,9/30/12 1:32,9/30/12 1:32
9/30/12,1,37,360,80,1,9/30/12 23:10,10/1/12 7:18,10/1/12 7:18
10/1/12,2,21,373,86,2,10/1/12 23:00,10/2/12 7:13,10/2/12 7:13
10/2/12,23,68,383,80,8,10/2/12 21:40,10/3/12 7:00,10/3/12 7:00
10/3/12,20,32,342,80,9,10/3/12 22:35,10/4/12 6:36,10/4/12 6:36
10/4/12,14,39,327,81,7,10/4/12 22:40,10/5/12 6:26,10/5/12 6:26
10/5/12,2,12,245,86,2,10/6/12 0:55,10/6/12 6:45,10/6/12 6:44
10/6/12,1,37,372,79,2,10/6/12 23:20,10/7/12 7:39,10/7/12 7:39
10/7/12,5,67,377,79,3,10/7/12 22:25,10/8/12 7:20,10/8/12 7:20
10/8/12,5,44,371,62,5,10/8/12 23:10,10/9/12 7:19,10/9/12 7:19
11/13/12,3,32,188,75,3,11/14/12 2:10,11/14/12 7:24,11/14/12 7:24
11/14/12,2,49,357,88,2,11/14/12 22:50,11/15/12 7:13,11/15/12 7:13
11/15/12,7,60,359,74,6,11/15/12 23:00,11/16/12 7:29,11/16/12 7:29
11/16/12,2,17,244,81,2,11/17/12 1:00,11/17/12 6:50,11/17/12 6:50
11/17/12,2,37,379,69,1,11/17/12 22:35,11/18/12 7:02,11/18/12 6:51
11/18/12,2,37,363,73,3,11/18/12 23:05,11/19/12 7:13,11/19/12 7:13
11/19/12,6,29,393,77,2,11/19/12 22:35,11/20/12 7:12,11/20/12 7:12
11/20/12,8,44,310,68,3,11/20/12 23:15,11/21/12 6:39,11/21/12 6:37
11/21/12,18,31,381,78,8,11/21/12 22:25,11/22/12 7:05,11/22/12 7:05
11/22/12,33,31,406,89,3,11/22/12 22:00,11/23/12 7:28,11/23/12 7:28
11/24/12,3,24,352,76,4,11/25/12 0:00,11/25/12 7:40,11/25/12 7:40
11/24/12,0,0,72,16,0,11/24/12 15:25,11/24/12 17:02,11/24/12 17:02
11/25/12,2,68,376,67,3,11/25/12 22:30,11/26/12 7:28,11/26/12 7:28
11/26/12,14,51,399,73,9,11/26/12 21:55,11/27/12 7:13,11/27/12 7:13
11/27/12,13,54,335,66,3,11/27/12 22:10,11/28/12 6:10,11/28/12 6:10
11/28/12,6,25,356,77,5,11/28/12 22:40,11/29/12 6:48,11/29/12 6:48
11/29/12,6,10,277,69,3,11/29/12 22:40,11/30/12 7:30,11/30/12 7:30
11/30/12,4,45,331,71,3,11/30/12 23:10,12/1/12 7:28,12/1/12 7:28
12/1/12,4,21,386,83,3,12/1/12 23:55,12/2/12 8:18,12/2/12 8:18
12/2/12,7,33,360,68,4,12/2/12 22:45,12/3/12 7:10,12/3/12 7:10
12/3/12,8,37,336,70,7,12/3/12 22:45,12/4/12 6:34,12/4/12 6:34
12/4/12,49,35,347,79,5,12/4/12 22:20,12/5/12 7:33,12/5/12 7:33
12/5/12,6,34,400,78,3,12/5/12 21:50,12/6/12 6:45,12/6/12 6:41
12/6/12,21,23,342,68,5,12/6/12 22:55,12/7/12 6:59,12/7/12 6:59
12/7/12,1,18,265,80,1,12/8/12 1:40,12/8/12 7:57,12/8/12 7:57
12/8/12,2,17,243,64,3,12/9/12 1:00,12/9/12 8:15,12/9/12 8:15
12/9/12,2,42,366,84,3,12/9/12 13:45,12/9/12 22:18,12/9/12 22:18
12/10/12,18,14,326,61,5,12/10/12 13:00,12/10/12 20:06,12/10/12 20:06
12/11/12,0,12,161,60,0,12/11/12 22:25,12/12/12 2:35,12/12/12 2:35
12/13/12,7,50,310,57,3,12/13/12 23:20,12/14/12 6:50,12/14/12 6:50
12/14/12,0,3,152,31,0,12/15/12 4:40,12/15/12 8:24,12/15/12 8:24
12/15/12,3,24,214,57,2,12/16/12 2:15,12/16/12 7:50,12/16/12 7:50
12/16/12,0,0,24,1,0,12/16/12 13:45,12/16/12 14:15,12/16/12 14:15
12/16/12,2,34,355,69,1,12/16/12 22:45,12/17/12 7:10,12/17/12 7:10
12/17/12,4,21,347,69,1,12/17/12 23:20,12/18/12 6:54,12/18/12 6:54
12/18/12,6,19,322,67,3,12/18/12 22:50,12/19/12 6:27,12/19/12 6:27
12/19/12,6,32,201,52,4,12/19/12 23:05,12/20/12 6:33,12/20/12 6:33
12/20/12,6,46,317,75,2,12/20/12 21:05,12/21/12 4:50,12/21/12 4:50
12/21/12,1,7,225,90,1,12/22/12 2:25,12/22/12 7:56,12/22/12 7:56
12/22/12,1,22,263,52,2,12/22/12 15:35,12/22/12 22:40,12/22/12 22:40
12/22/12,0,0,17,1,0,12/22/12 14:20,12/22/12 14:47,12/22/12 14:47
12/23/12,11,46,381,83,4,12/23/12 13:45,12/23/12 22:37,12/23/12 22:35
12/24/12,0,0,22,1,0,12/24/12 14:00,12/24/12 14:25,12/24/12 14:25
12/24/12,1,17,335,65,1,12/25/12 0:35,12/25/12 7:47,12/25/12 7:47
